figure_id	panel	component	output_file	source_table_or_input	script	notes
Figure 1	A-D	study design overview	plots/figure1_design_overview.png	conceptual overview with cohort roles and benchmark structure	scripts/plot_benchmark_design_figure.py	Interpretive design figure rather than a data-derived panel set
Figure 2	A	external balanced accuracy at fixed threshold	plots/figure2_external_threshold_stability.png	results/benchmarks/task_a_preprocessing_benchmark.tsv	scripts/plot_task_a_figure2_prototype.py	Primary analysis, external fixed-threshold comparison
Figure 2	B	external AUROC	plots/figure2_external_threshold_stability.png	results/benchmarks/task_a_preprocessing_benchmark.tsv	scripts/plot_task_a_figure2_prototype.py	Primary analysis, external ranking performance
Figure 2	C	transferred score distributions under standard z-score	plots/figure2_external_threshold_stability.png	results/benchmarks/task_a_preprocessing_predictions.tsv	scripts/plot_task_a_figure2_prototype.py	Shows score compression below the fixed threshold
Figure 2	D	observed versus predicted positive rate	plots/figure2_external_threshold_stability.png	results/benchmarks/task_a_preprocessing_benchmark.tsv	scripts/plot_task_a_figure2_prototype.py	Decision-scale drift readout
Figure 3	A	internal versus external balanced accuracy	plots/figure3_harder_negative_stress_test.png	results/benchmarks/task_b_preprocessing_benchmark.tsv	scripts/plot_task_b_figure_prototype.py	Inflammatory comparator analysis
Figure 3	B	external AUROC under inflammatory confounding	plots/figure3_harder_negative_stress_test.png	results/benchmarks/task_b_preprocessing_benchmark.tsv	scripts/plot_task_b_figure_prototype.py	Shows AUROC and fixed-threshold utility diverge
Figure 3	C	external score distributions by preprocessing	plots/figure3_harder_negative_stress_test.png	results/benchmarks/task_b_preprocessing_predictions.tsv	scripts/plot_task_b_figure_prototype.py	Harder negative comparator readout
Figure 3	D	observed versus predicted positive rate	plots/figure3_harder_negative_stress_test.png	results/benchmarks/task_b_preprocessing_benchmark.tsv	scripts/plot_task_b_figure_prototype.py	Highlights the robust-scaling advantage
Figure S1	A-B	cohort flow and task-specific analyzable samples	plots/figureS1_cohort_flow.png	results/tables/cohort_flow_summary.tsv	scripts/plot_supplementary_figures.py	Cohort assembly overview
Figure S2	A-D	RNA-seq transfer readout	plots/figureS2_task_c_rnaseq_transfer.png	results/benchmarks/task_c_preprocessing_benchmark.tsv;results/benchmarks/task_c_preprocessing_predictions.tsv;results/benchmarks/task_a_calibration_benchmark.tsv	scripts/plot_supplementary_figures.py	Platform-specific view of the primary analysis
Figure S3	A-D	coefficient concordance across preprocessing workflows	plots/figureS3_task_a_coefficient_stability.png	results/models/task_a_standard_zscore_coefficients.tsv;results/models/task_a_sample_rank_zscore_coefficients.tsv;results/models/task_a_cohort_robust_scale_coefficients.tsv	scripts/plot_supplementary_figures.py	Supports a score-axis interpretation rather than signal loss
